1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],8. Apparent diameter [km],11. Floor diameter [km],14. Apparent depth [km],16. Interior volume [km^3],20. Height of central peak [km],51. Age
Aitken A,12.94,-13.87,173.46,10.74,2.84,2.101,86.67,0,
Aitken C,65.61,-13.76,175.57,56.42,34.77,2.739,3747.81,0,pre-Nectarian
Aitken G,6.05,-16.71,173.99,5.02,0.74,1.027,8.86,0,
Aitken N,7.15,-17.63,172.74,5.93,1,1.202,14.62,0,
Aitken Y,35.72,-11.93,172.92,30.72,16.27,2.119,920.03,0.69,Nectarian
Aitken Z,32.06,-14.89,173.21,27.57,14.22,2.05,716.73,0.56,Upper Imbrian
Akis,2.28,20.01,-31.76,1.89,0.13,0.41,0.47,0,
Al-Bakri,12.21,14.34,20.25,10.13,2.57,1.989,72.81,0,
Al-Biruni,80.41,18.07,92.62,69.15,44.83,2.795,5995.75,0,Nectarian
Al-Biruni C,9.53,18.42,93.06,7.91,1.66,1.575,34.62,0,
Al-Khwarizmi,56.25,7.02,107.01,48.38,28.69,2.432,2626.39,0,Nectarian
Al-Khwarizmi B,59.06,9.09,107.92,50.79,30.49,2.71,2939.44,0,pre-Nectarian
Al-Khwarizmi G,102.83,6.76,107.35,88.43,60.95,2.865,10582.15,0,pre-Nectarian
Al-Khwarizmi H,49.72,5.85,109.77,42.76,24.59,2.343,1974.99,1.32,
Al-Khwarizmi J,44.68,6.19,108.14,38.42,21.52,2.268,1542.9,1.07,Nectarian
Al-Khwarizmi K,22.36,4.5,108.15,19.23,9.06,1.838,311.79,0.27,
Al-Khwarizmi L,35.51,3.77,107.89,30.54,16.15,2.115,907.58,0.68,
Al-Khwarizmi M,16.4,3.05,107.44,13.61,4.32,2.625,0,0,
Al-Khwarizmi T,14.05,7.06,104.96,11.66,3.29,2.27,0,0,
Al-Khwarizmi-King,590,1,112,507.4,0,3.412,0,0,pre-Nectarian 
Al-Marrakushi,8.57,-10.45,55.77,7.11,1.37,1.426,25.18,0,
Alan,1.44,-10.93,-6.17,1.2,0.06,0.266,0.12,0,
Albategnius,130.84,-11.24,4.01,112.52,0,2.935,18460.68,0,Nectarian
Albategnius A,6.79,-9.34,3.03,5.64,0.91,1.145,12.52,0,
Albategnius B,18.98,-10.07,4.03,16.32,5.59,1.748,0,0.2,
Albategnius C,5.66,-10.33,3.71,4.7,0.66,0.965,7.25,0,
Albategnius D,8.35,-11.36,7.14,6.93,1.31,1.391,23.29,0,
Albategnius E,12.67,-12.95,6.38,10.52,2.74,2.059,81.36,0,
Albategnius G,13.79,-9.46,1.89,11.45,3.18,2.23,0,0,
Albategnius H,11.77,-9.66,5.16,9.77,2.41,1.921,65.22,0,
Albategnius J,5.97,-11.14,6.19,4.96,0.73,1.014,8.51,0,
Albategnius K,10.31,-9.9,2,8.56,1.9,1.696,43.84,0,
Albategnius L,7.45,-12.08,6.31,6.18,1.07,1.249,16.54,0,
Albategnius M,8.07,-8.92,4.16,6.7,1.24,1.347,21.02,0,
Albategnius N,8.61,-9.89,4.54,7.15,1.39,1.432,25.53,0,
Albategnius O,4.54,-13.62,4.43,3.77,0.45,0.784,3.74,0,
Albategnius P,4.01,-13.02,4.49,3.33,0.36,0.698,2.58,0,
Albategnius S,5.91,-13.35,6.05,4.91,0.71,1.005,8.26,0,
Albategnius T,9.61,-12.66,6.06,7.98,1.68,1.588,35.5,0,
Albert,0.1,38.3,-35,0.08,0,0.017,0,0,
Alden,111.44,-23.51,111.11,95.84,67.39,2.888,12742.13,0,Nectarian
Alden B,15.1,-20.6,113.11,12.53,3.73,2.429,0,0,
Alden C,56.81,-22.69,111.74,48.86,29.05,2.44,2687.19,0,Nectarian
Alden E,26.37,-23.42,112.81,22.68,11.14,1.932,456.4,0.38,
Alden V,20.89,-22.7,110.46,17.97,8.33,1.8,266.46,0.24,
Alder,82.12,-48.63,-177.88,70.62,46.02,2.801,6294.4,0,Lower Imbrian
Alder E,18.63,-47.97,-173.5,16.02,5.41,1.738,0,0.19,
Aldrin,2.8,1.41,22.09,2.32,0.19,0.498,0.88,0,
Alekhin,74.82,-67.94,-131.85,64.35,40.97,2.775,5076.42,0,pre-Nectarian
Alekhin E,39.6,-66.96,-124.58,34.06,18.51,2.186,1167.49,0.84,
Alexander,94.8,40.25,13.69,81.53,55.06,2.842,8770.09,0,pre-Nectarian
Alexander A,3.99,40.78,14.94,3.31,0.36,0.694,2.54,0,
Alexander B,3.89,40.28,15.14,3.23,0.34,0.678,2.35,0,
Alexander C,4.23,38.52,14.95,3.51,0.4,0.734,3.03,0,
Alexander K,3.95,40.52,19.35,3.28,0.35,0.688,2.47,0,
Alfraganus,20.52,-5.42,18.97,17.65,8.14,1.79,255.69,0.23,
Alfraganus A,13.87,-3.05,20.32,11.51,3.21,2.242,0,0,
Alfraganus C,10.3,-6.13,18.09,8.55,1.9,1.695,43.71,0,
Alfraganus D,8.29,-4.05,20.14,6.88,1.3,1.382,22.79,0,
Alfraganus E,3.85,-4.62,19,3.2,0.33,0.671,2.28,0,
Alfraganus F,8.64,-3.54,20.84,7.17,1.39,1.436,25.8,0,
Alfraganus G,5.74,-2.67,21.23,4.76,0.68,0.978,7.56,0,
Alfraganus H,12,-4.36,19.16,9.96,2.49,1.957,69.12,0,
Alfraganus K,2.95,-5.25,19.54,2.45,0.21,0.523,1.03,0,
Alfraganus M,3.16,-5.66,19.56,2.62,0.24,0.557,1.26,0,
Alhazen,34.65,15.91,71.83,29.8,15.67,2.099,857.61,0.65,Lower Imbrian
Alhazen A,16.14,16.17,74.3,13.4,4.2,2.586,0,0,
Alhazen D,34.23,19.68,75.17,29.44,15.43,2.091,833.79,0.63,
Aliacensis,79.65,-30.6,5.13,68.5,44.3,2.793,5865.65,0,Nectarian
Aliacensis A,13.61,-29.71,7.39,11.3,3.11,2.203,0,0,
Aliacensis B,15.81,-31.43,3.2,13.12,4.05,2.536,0,0,
Aliacensis C,7.93,-32.7,5.42,6.58,1.2,1.325,19.95,0,
Aliacensis D,9.67,-33.19,6.82,8.03,1.7,1.597,36.17,0,
Aliacensis E,8.74,-30.42,2.32,7.25,1.42,1.452,26.71,0,
Aliacensis F,4.82,-32.66,3.84,4,0.5,0.829,4.48,0,
Aliacensis G,7.76,-33.39,4.7,6.44,1.15,1.298,18.69,0,
Aliacensis H,5.58,-31.81,6.01,4.63,0.64,0.952,6.95,0,
Aliacensis K,5.65,-31.43,6.26,4.69,0.66,0.963,7.21,0,
Aliacensis W,10.32,-31.9,5.32,8.57,1.91,1.698,43.96,0,
Aliacensis X,3.66,-29.64,6.78,3.04,0.31,0.64,1.96,0,
Aliacensis Y,4.7,-30.11,7.33,3.9,0.48,0.81,4.15,0,
Aliacensis Z,3.83,-30.05,4.49,3.18,0.33,0.668,2.25,0,
Almanon,47.76,-16.85,15.14,41.07,23.39,2.314,1799.76,1.22,Nectarian
Almanon A,9.75,-17.79,15.32,8.09,1.73,1.609,37.07,0,
Almanon B,23.6,-18.33,15.26,20.3,9.7,1.868,353.19,0.3,
Almanon C,15.62,-16.16,15.98,12.96,3.96,2.508,0,0,
Almanon D,5.33,-18.6,15.54,4.42,0.59,0.912,6.06,0,
Almanon E,5.37,-17.91,13.63,4.46,0.6,0.918,6.19,0,
Almanon F,5.23,-15.92,14.27,4.34,0.57,0.896,5.72,0,
Almanon G,4.47,-17.93,14.61,3.71,0.44,0.773,3.57,0,
Almanon H,6.05,-19.03,15.22,5.02,0.74,1.027,8.86,0,
Almanon K,6.46,-15.84,15.43,5.36,0.83,1.093,10.78,0,
Almanon L,5.88,-19,16.58,4.88,0.71,1,8.13,0,
Almanon P,19.44,-18.55,17,16.72,5.83,1.761,225.67,0.21,
Almanon Q,4.63,-18.08,17,3.84,0.46,0.799,3.97,0,
Almanon R,3.51,-18.17,15.88,2.91,0.28,0.615,1.73,0,
Aloha,2.55,29.79,-53.88,2.12,0.16,0.456,0.66,0,
Alpes A,10.66,51.39,-0.3,8.85,2.02,1.75,48.45,0,
Alpes B,4.82,45.81,-0.91,4,0.5,0.829,4.48,0,
Alpetragius,40.02,-16.05,-4.51,34.42,18.75,2.193,1196.29,0.86,
Alpetragius B,9.73,-15.13,-6.88,8.08,1.72,1.606,36.85,0,
Alpetragius C,2.11,-13.75,-6.17,1.75,0.12,0.381,0.38,0,
Alpetragius G,12.18,-18.17,-6.56,10.11,2.56,1.984,72.28,0,
Alpetragius H,4.43,-18.01,-6.1,3.68,0.43,0.766,3.48,0,
Alpetragius J,4.13,-18.05,-5.7,3.43,0.38,0.717,2.82,0,
Alpetragius M,23.21,-16.45,-3.27,19.96,9.5,1.858,339.85,0.29,
Alpetragius N,11.27,-16.74,-3.88,9.35,2.23,1.845,57.26,0,
Alpetragius U,15.59,-17.71,-5.11,12.94,3.95,2.503,0,0,
Alpetragius V,15.9,-18.19,-5.83,13.2,4.09,2.55,0,0,
Alpetragius W,27.68,-17.95,-5.96,23.8,11.83,1.961,510.48,0.42,
Alpetragius X,31.78,-15.61,-5.74,27.33,14.06,2.045,702.35,0.55,
Alphonsus,110.54,-13.39,-2.85,95.06,66.71,2.886,12505.67,0,Nectarian
Alphonsus A,3.6,-14.87,-2.27,2.99,0.3,0.63,1.87,0,
Alphonsus B,22.94,-13.26,-0.2,19.73,9.36,1.852,330.79,0.29,
Alphonsus C,3.37,-14.4,-4.87,2.8,0.26,0.592,1.53,0,
Alphonsus D,23.7,-15.05,-0.85,20.38,9.75,1.87,356.65,0.31,
Alphonsus G,3.52,-12.35,-3.39,2.92,0.29,0.617,1.74,0,
Alphonsus H,7.01,-15.62,-0.53,5.82,0.96,1.18,13.78,0,
Alphonsus J,7.9,-15.14,-2.51,6.56,1.19,1.32,19.72,0,
Alphonsus K,20.6,-12.61,-0.11,17.72,8.18,1.792,257.99,0.23,
Alphonsus L,3.75,-12.02,-3.72,3.11,0.32,0.655,2.11,0,
Alphonsus R,3.01,-14.39,-1.92,2.5,0.22,0.533,1.09,0,
Alphonsus X,4.68,-14.99,-4.46,3.88,0.47,0.807,4.1,0,
Alphonsus Y,2.6,-14.71,-1.92,2.16,0.17,0.464,0.7,0,
Alter,64.73,18.74,-107.8,55.67,34.19,2.735,3632.71,0,pre-Nectarian
Alter K,21.64,16.22,-106.19,18.61,8.7,1.819,289.08,0.26,
Alter W,51.47,20.38,-109.41,44.26,25.68,2.368,2139.28,0,
Ameghino,9.2,3.3,57.04,7.64,1.56,1.524,31.15,0,Eratosthenian
Amici,52.03,-10.06,-172.23,44.75,26.03,2.375,2193.43,0,
Amici M,107.91,-11.81,-172.02,92.8,64.73,2.879,11829.04,0,pre-Nectarian
Amici N,37.63,-11.88,-172.54,32.36,17.37,2.153,1037.67,0.76,Nectarian
Amici P,24.93,-12.35,-174.13,21.44,10.38,1.899,400.87,0.34,
Amici Q,43.59,-12.34,-175.89,37.49,20.87,2.251,1457.34,1.02,
Amici R,34.77,-11.5,-175.32,29.9,15.73,2.101,864.49,0.65,Nectarian
Amici T,38.06,-9.91,-174.07,32.73,17.61,2.16,1065.27,0.78,Eratosthenian
Amici U,88.73,-8.75,-175.47,76.31,50.7,2.823,7526.96,0,pre-Nectarian
Ammonius,8.55,-8.52,-0.83,7.1,1.37,1.422,25,0,
Amontons,2.47,-5.34,46.78,2.05,0.15,0.442,0.6,0,
Amundsen,103.39,-84.44,83.07,88.92,61.37,2.866,10715.75,0,Nectarian
Amundsen C,24.22,-80.76,85.21,20.83,10.02,1.883,374.99,0.32,
Amundsen-Ganswindt,335,-81,120,288.1,0,3.224,0,0,pre-Nectarian 
Anaxagoras,51.9,73.48,-10.17,44.63,25.95,2.374,2180.79,0,Copernican
Anaxagoras A,20.09,72.26,-7.02,17.28,7.93,1.779,243.48,0.22,
Anaxagoras B,4.95,70.35,-11.36,4.11,0.52,0.85,4.85,0,
Anaximander,68.71,66.97,-51.44,59.09,36.84,2.752,4169.59,0,pre-Nectarian
Anaximander A,15.24,68.05,-50.4,12.65,3.8,2.45,0,0,
Anaximander B,79.1,68.08,-61.21,68.03,43.92,2.791,5772.51,0,pre-Nectarian
Anaximander D,96.63,65.78,-50.68,83.1,56.4,2.847,9166.12,0,pre-Nectarian
Anaximander H,9.03,65.29,-41.06,7.49,1.51,1.497,29.45,0,
Anaximander R,8.05,66.32,-55.21,6.68,1.23,1.344,20.87,0,
Anaximander S,7.21,68.35,-53.6,5.98,1.01,1.212,14.99,0,
Anaximander T,7.01,67.3,-52.27,5.82,0.96,1.18,13.78,0,
Anaximander U,7.54,64.14,-48.5,6.26,1.1,1.264,17.15,0,
Anaximenes,81.12,72.49,-44.98,69.76,45.33,2.798,6118.75,0,pre-Nectarian
Anaximenes B,8.34,68.94,-38.06,6.92,1.31,1.389,23.2,0,
Anaximenes E,10,66.58,-31.46,8.3,1.8,1.648,40,0,
Anaximenes G,51.17,73.75,-40.5,44.01,25.49,2.363,2110.58,0,
Anaximenes H,42.72,74.64,-45.7,36.74,20.35,2.237,1391.03,0.98,
Andel,32.93,-10.41,12.38,28.32,14.7,2.067,762.45,0.59,
Andel A,13.4,-10.81,11.24,11.12,3.02,2.171,0,0,
Andel C,3.01,-9.01,11.15,2.5,0.22,0.533,1.09,0,
Andel D,5.98,-10.79,11.71,4.96,0.73,1.016,8.55,0,
Andel E,5.7,-12.02,12.22,4.73,0.67,0.971,7.41,0,
Andel F,9.22,-8.34,11.08,7.65,1.56,1.527,31.35,0,
Andel G,4.12,-10.94,12.31,3.42,0.38,0.716,2.8,0,
Andel H,5.25,-6.67,11.31,4.36,0.58,0.899,5.79,0,
Andel J,5.52,-7.54,11.41,4.58,0.63,0.942,6.73,0,
Andel K,3.69,-5.83,11.56,3.06,0.31,0.645,2.01,0,
Andel M,26.46,-9.75,11.12,22.76,11.19,1.934,460,0.38,
Andel N,8.5,-10.24,11.34,7.06,1.35,1.415,24.57,0,
Andel P,17.56,-11.65,12.2,14.57,4.87,2.8,0,0.17,
Andel S,4.52,-11.4,12.7,3.75,0.44,0.781,3.69,0,
Andel T,3.38,-11.25,13.24,2.81,0.27,0.594,1.54,0,
Andel W,11.19,-12.36,12.26,9.29,2.2,1.832,56.05,0,
Anders,41.33,-41.31,-143.3,35.54,19.52,2.215,1288.69,0.92,Nectarian
Anders D,23.8,-40.26,-140.86,20.47,9.8,1.873,360.14,0.31,
Anders G,20.46,-41.81,-142.18,17.6,8.11,1.789,253.96,0.23,
Anders X,21.45,-39.73,-144.25,18.45,8.61,1.814,283.25,0.25,
Anderson,105.33,15.5,170.79,90.58,62.81,2.872,11185.93,0,Nectarian
Anderson E,28.23,16.98,173.53,24.28,12.13,1.972,534.22,0.43,
Anderson F,44.96,16.28,173.8,38.67,21.69,2.272,1565.33,1.08,Nectarian
Anderson L,14.15,14.71,171.13,11.74,3.33,2.285,0,0,
Andersson,13.42,-49.95,-95.46,11.14,3.03,2.174,0,0,
Andronov,16.57,-22.68,146.11,13.75,4.4,2.651,0,0,
Ango,0.87,20.48,-32.34,0.72,0.02,0.113,0.03,0,
Angstrom,9.55,29.9,-41.67,7.93,1.66,1.578,34.84,0,
Angstrom A,5.69,30.92,-41.15,4.72,0.67,0.97,7.37,0,
Angstrom B,5.56,31.76,-44.19,4.61,0.64,0.949,6.88,0,
Ann,2.12,25.11,-0.05,1.76,0.12,0.383,0.38,0,
Annegrit,1.29,29.43,-25.64,1.07,0.05,0.24,0.09,0,
Ansgarius,91.42,-12.92,79.72,78.62,52.62,2.831,8064.59,0,Nectarian
Ansgarius B,33.1,-11.99,84.11,28.47,14.79,2.07,771.58,0.59,
Ansgarius C,15.59,-14.79,74.83,12.94,3.95,2.503,0,0,
Ansgarius M,7.56,-11.25,78.79,6.27,1.1,1.267,17.28,0,
Ansgarius N,10.23,-11.91,81.18,8.49,1.88,1.684,42.82,0,
Ansgarius P,10.35,-13.06,75.66,8.59,1.92,1.703,44.35,0,
Antoniadi,137.92,-69.3,-173.06,118.61,0,2.95,20850.47,0,Upper Imbrian
Anuchin,62.14,-48.85,101.66,53.44,32.49,2.724,3305.71,0,Nectarian
Anuchin B,25.59,-46.44,103.57,22.01,10.73,1.914,425.81,0.36,
Anuchin L,16.04,-49.84,101.92,13.31,4.15,2.571,0,0,
Anuchin N,30.68,-51.28,100.03,26.38,13.46,2.023,647.46,0.51,
Anuchin Q,51.43,-50.82,98.77,44.23,25.65,2.367,2135.44,0,
Anuchin V,15.18,-47.81,99.8,12.6,3.77,2.441,0,0,
Anville,10.26,1.84,49.51,8.52,1.89,1.689,43.2,0,
Apianus,63.44,-26.96,7.87,54.56,33.34,2.73,3467.66,0,Nectarian
Apianus A,13.11,-25.7,6.52,10.88,2.91,2.127,0,0,
Apianus B,10.21,-27.4,8.99,8.47,1.87,1.681,42.57,0,
Apianus C,19.64,-28.13,10.46,16.89,5.94,1.766,231.06,0.21,
Apianus D,33.66,-26.08,10.66,28.95,15.11,2.081,802.07,0.61,
Apianus E,8.39,-28.85,8.19,6.96,1.32,1.397,23.62,0,
Apianus F,5.39,-28.14,6.33,4.47,0.61,0.921,6.26,0,
Apianus G,4.02,-28.12,7.64,3.34,0.36,0.699,2.6,0,
Apianus H,6.57,-28.15,8.64,5.45,0.86,1.11,11.34,0,
Apianus J,6.71,-26.33,8.52,5.57,0.89,1.132,12.08,0,
Apianus K,6.44,-27.48,9.31,5.35,0.83,1.089,10.68,0,
Apianus L,4.67,-29.12,10.85,3.88,0.47,0.805,4.07,0,
Apianus M,6.98,-24.78,10.29,5.79,0.96,1.175,13.6,0,
Apianus N,3.46,-28.89,9.91,2.87,0.28,0.607,1.66,0,
Apianus P,41.59,-25.29,9.13,35.77,19.68,2.219,1307.5,0.93,
Apianus R,13.1,-25.79,8.89,10.87,2.91,2.125,0,0,
Apianus S,23.96,-25.81,8.47,20.61,9.88,1.877,365.76,0.31,
Apianus T,11.52,-27.73,9.45,9.56,2.32,1.883,61.15,0,
Apianus U,16.82,-27.91,8.98,13.96,4.52,2.689,0,0,
Apianus V,3.2,-25.19,10.4,2.66,0.24,0.564,1.31,0,
Apianus W,9.68,-25.6,7.46,8.03,1.7,1.599,36.28,0,
Apianus X,3.1,-28.34,7.02,2.57,0.23,0.548,1.19,0,
Apollo,524.23,-35.69,-151.48,450.84,0,3.372,0,0,pre-Nectarian
Apollonius,50.66,4.51,60.96,43.57,25.17,2.356,2062.31,1.37,Nectarian
Apollonius A,24.55,4.82,56.85,21.11,10.19,1.89,386.9,0.33,
Apollonius B,31.17,5.87,57.6,26.81,13.73,2.033,671.6,0.53,
Apollonius E,16.55,4.34,61.86,13.74,4.39,2.648,0,0,
Apollonius F,14.72,5.6,59.94,12.22,3.57,2.372,0,0,
Apollonius H,19.04,3.43,59.51,16.37,5.62,1.75,215.08,0.2,
Apollonius J,11.7,4.63,57.48,9.71,2.38,1.911,64.06,0,
Apollonius L,10.12,6.47,54.57,8.4,1.84,1.667,41.46,0,
